trial_id,label,subject,timestamp,duration_s,n_samples,mean_cop_x,mean_cop_y,rms_ml,rms_ap,range_ml,range_ap,path_length_cm,mean_velocity_cm_s,ellipse_area_cm2,anterior_pct,lr_asymmetry,mpf_ml,f50_ml,mpf_ap,f50_ap
0000_neutral_S01,neutral,S01,20260630-233611,5.000,501,-0.046857,-2.635722,0.061168,0.040743,0.392491,0.264620,25.918730,5.183746,0.046697,38.439815,0.216430,11.686100,8.982036,13.640784,11.776447
0001_neutral_S01,neutral,S01,20260630-233617,5.000,501,-0.005196,-2.621177,0.060910,0.039530,0.344974,0.217499,25.752538,5.150508,0.045295,38.503610,0.023998,12.344521,9.381238,14.954776,12.175649
0002_neutral_S01,neutral,S01,20260630-233623,5.000,501,-0.011942,-2.620001,0.060038,0.036188,0.390623,0.247042,25.383488,5.076698,0.040843,38.508769,0.055158,12.291976,9.780439,14.847841,13.173653
0003_neutral_S01,neutral,S01,20260630-233630,5.000,501,0.004629,-2.613891,0.056700,0.037976,0.323832,0.225890,25.750330,5.150066,0.040503,38.535566,0.021379,14.640211,12.774451,14.035345,12.375250
0004_neutral_S01,neutral,S01,20260630-233638,5.000,501,0.022755,-2.622209,0.058867,0.041851,0.331640,0.234295,25.532534,5.106507,0.046199,38.499085,0.105103,13.033545,11.177645,12.695940,9.780439
0005_slouched_S01,slouched,S01,20260630-233647,5.000,501,0.063533,-0.830612,0.048664,0.076171,0.278257,0.332209,19.017927,3.803585,0.069685,46.356963,0.293457,11.619941,7.984032,2.033240,0.199601
0006_slouched_S01,slouched,S01,20260630-233652,5.010,502,0.028857,-0.829610,0.047772,0.030706,0.310137,0.171649,17.029818,3.399165,0.027599,46.361361,0.133289,9.326969,5.378486,8.914166,2.390438
0007_slouched_S01,slouched,S01,20260630-233659,5.000,501,0.046050,-0.833567,0.046049,0.046475,0.259735,0.232422,17.802654,3.560531,0.039302,46.344004,0.212702,10.422188,7.984032,4.803690,0.199601
0008_slouched_S01,slouched,S01,20260630-233707,5.000,501,0.021971,-0.848159,0.044051,0.031466,0.290813,0.193507,16.901653,3.380331,0.026010,46.280006,0.101483,10.137336,6.187625,8.340864,3.592814
0009_slouched_S01,slouched,S01,20260630-233714,5.000,501,-0.011863,-0.846225,0.043693,0.027141,0.247912,0.167901,17.442595,3.488519,0.022287,46.288487,0.054794,11.018037,8.183633,13.178960,12.175649
0010_neutral_S02,neutral,S02,20260630-234935,5.010,502,2.235171,-1.768715,0.154433,0.069254,0.713907,0.340043,27.341040,5.457293,0.149226,42.242478,10.324117,2.604272,0.199203,4.619191,0.199203
0011_neutral_S02,neutral,S02,20260630-234941,5.000,501,2.415030,-1.608643,0.099268,0.054547,0.543266,0.324771,26.904992,5.380998,0.091163,42.944546,11.154875,5.516462,0.598802,8.745073,4.590818
0012_neutral_S02,neutral,S02,20260630-234946,5.000,501,2.431453,-1.479641,0.075248,0.047235,0.493892,0.298642,27.281965,5.456393,0.065164,43.510348,11.230729,9.421095,4.990020,11.319955,8.183633
0013_neutral_S02,neutral,S02,20260630-234952,5.000,501,2.365491,-1.429358,0.071397,0.042389,0.425540,0.261332,27.136417,5.427283,0.056622,43.730886,10.926055,10.324621,6.187625,13.246621,11.776447
