time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
1929.38030,-0.31419,-1.65350,61.46973,12.77823,13.49873,17.51060,17.68217
1929.39030,-0.30689,-1.64538,61.47047,12.79266,13.50650,17.50690,17.66441
1929.40030,-0.30067,-1.63817,61.45286,12.80280,13.50826,17.49690,17.64490
1929.41030,-0.31127,-1.64944,61.42073,12.77823,13.48873,17.49060,17.66317
1929.42030,-0.31169,-1.64157,61.41444,12.78526,13.50020,17.47987,17.64911
1929.43030,-0.31241,-1.62817,61.40373,12.79723,13.51973,17.46160,17.62517
1929.44030,-0.31241,-1.62817,61.40373,12.79723,13.51973,17.46160,17.62517
1929.45030,-0.30305,-1.66953,61.49742,12.77358,13.47198,17.54471,17.70714
1929.46030,-0.27628,-1.65515,61.50028,12.79587,13.48969,17.56186,17.65286
1929.47030,-0.26263,-1.64782,61.50173,12.80723,13.49873,17.57060,17.62517
1929.48030,-0.27923,-1.66593,61.44821,12.77744,13.45682,17.55040,17.66355
1929.49030,-0.30064,-1.68402,61.41142,12.73892,13.43092,17.54040,17.70117
1929.50030,-0.30595,-1.68433,61.42773,12.72923,13.44673,17.55060,17.70117
1929.51030,-0.31300,-1.67208,61.41853,12.75298,13.45206,17.51232,17.70117
1929.52030,-0.32050,-1.65904,61.40873,12.77823,13.45773,17.47160,17.70117
1929.53030,-0.32779,-1.65780,61.45081,12.78862,13.46866,17.47160,17.72194
1929.54030,-0.28956,-1.65739,61.53873,12.80723,13.48873,17.55060,17.69217
1929.55030,-0.29283,-1.65573,61.52373,12.80529,13.48873,17.54050,17.68921
1929.56030,-0.31875,-1.64362,61.39761,12.78895,13.48380,17.45788,17.66699
1929.57030,-0.29470,-1.66442,61.44662,12.79491,13.44274,17.51020,17.69878
1929.58030,-0.28533,-1.67253,61.46573,12.79723,13.42673,17.53060,17.71117
1929.59030,-0.33102,-1.67882,61.41873,12.70923,13.47773,17.53060,17.70117
1929.60030,-0.30646,-1.68879,61.40854,12.70904,13.44673,17.56060,17.69217
1929.61030,-0.31341,-1.69293,61.38912,12.68962,13.44673,17.56060,17.69217
1929.62030,-0.30485,-1.67083,61.38940,12.74190,13.45406,17.52060,17.67284
1929.63030,-0.30049,-1.65974,61.38973,12.76823,13.45773,17.50060,17.66317
1929.64030,-0.30304,-1.68923,61.43917,12.70001,13.46761,17.58959,17.68196
1929.65030,-0.30334,-1.67876,61.47907,12.72480,13.48805,17.58404,17.68217
1929.66030,-0.30348,-1.67308,61.49973,12.73823,13.49873,17.58060,17.68217
1929.67030,-0.30821,-1.67835,61.53101,12.76429,13.47180,17.56323,17.73169
1929.68030,-0.30893,-1.67915,61.53573,12.76823,13.46773,17.56060,17.73917
1929.69030,-0.30206,-1.69822,61.55153,12.74191,13.44930,17.60448,17.75585
1929.70030,-0.32619,-1.69563,61.50407,12.70425,13.47374,17.58446,17.74162
1929.71030,-0.32990,-1.69486,61.49673,12.69923,13.47773,17.58060,17.73917
1929.72030,-0.30862,-1.70634,61.48735,12.70776,13.43423,17.59766,17.74770
1929.73030,-0.31148,-1.70734,61.41563,12.69171,13.41709,17.57431,17.73252
1929.74030,-0.31240,-1.70721,61.40573,12.68923,13.41573,17.57060,17.73017
1929.75030,-0.31240,-1.70721,61.40573,12.68923,13.41573,17.57060,17.73017
1929.76030,-0.31547,-1.70990,61.49573,12.68923,13.44673,17.61060,17.74917
1929.77030,-0.31313,-1.71223,61.47808,12.68110,13.44107,17.61336,17.74255
