time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
3321.16460,0.40619,-6.16225,70.61873,7.73123,8.49173,28.24060,26.15517
3321.17460,0.49015,-6.16696,70.74982,7.80771,8.43074,28.36808,26.14329
3321.18460,0.47841,-6.16793,70.63873,7.76023,8.44973,28.33960,26.08917
3321.19460,0.47840,-6.16771,70.63877,7.76056,8.45007,28.33927,26.08886
3321.20460,0.47806,-6.16060,70.63985,7.77143,8.46148,28.32840,26.07854
3321.21460,0.47778,-6.15471,70.64073,7.78023,8.47113,28.31960,26.06977
3321.22460,0.47816,-6.15020,70.64529,7.78362,8.48279,28.31916,26.05973
3321.23460,0.48542,-6.12273,70.73373,7.84923,8.52273,28.31060,26.05117
3321.24460,0.48542,-6.12273,70.73373,7.84923,8.52273,28.31060,26.05117
3321.25460,0.49463,-6.11851,70.80133,7.86326,8.53747,28.34620,26.05441
3321.26460,0.51100,-6.11101,70.92173,7.88823,8.56373,28.40960,26.06017
3321.27460,0.53283,-6.11114,70.71461,7.88042,8.52308,28.34707,25.96404
3321.28460,0.52965,-6.08933,70.72153,7.90523,8.56753,28.32060,25.92817
3321.29460,0.52861,-6.08690,70.72873,7.90823,8.57373,28.31960,25.92717
3321.30460,0.54068,-6.08776,70.65541,7.91763,8.54459,28.29234,25.90085
3321.31460,0.52221,-6.09107,70.69405,7.90902,8.55194,28.29060,25.94249
3321.32460,0.52058,-6.09134,70.69773,7.90823,8.55273,28.29060,25.94617
3321.33460,0.51968,-6.08341,70.59603,7.88147,8.58038,28.26384,25.87034
3321.34460,0.51958,-6.08245,70.58373,7.87823,8.58373,28.26060,25.86117
3321.35460,0.52708,-6.08812,70.55986,7.89315,8.54568,28.24568,25.87535
3321.36460,0.51249,-6.08880,70.60629,7.88242,8.56515,28.25641,25.90231
3321.37460,0.50796,-6.08846,70.62073,7.87823,8.57373,28.26060,25.90817
3321.38460,0.50538,-6.09111,70.53901,7.86038,8.56433,28.23242,25.88187
3321.39460,0.51856,-6.08675,70.57572,7.88994,8.55683,28.24313,25.88581
