time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
4057.77760,-1.41358,-0.77587,51.57186,11.70359,12.32739,12.39872,15.14216
4057.78760,-1.41345,-0.77627,51.57175,11.70301,12.32700,12.39940,15.14234
4057.79760,-1.40029,-0.81700,51.56107,11.64573,12.28719,12.46736,15.16079
4057.80760,-1.36537,-0.83603,51.47419,11.62525,12.22439,12.48872,15.13583
4057.81760,-1.34800,-0.84516,51.43086,11.61559,12.19339,12.49872,15.12316
4057.82760,-1.34566,-0.80493,51.42118,11.69303,12.20219,12.41952,15.10644
4057.83760,-1.34534,-0.79944,51.41986,11.70359,12.20339,12.40872,15.10416
4057.84760,-1.34648,-0.80034,51.42455,11.70136,12.20578,12.41180,15.10562
4057.85760,-1.38106,-0.81616,51.53399,11.66628,12.25598,12.45702,15.15471
4057.86760,-1.40478,-0.82187,51.59437,11.65685,12.28051,12.46646,15.19056
4057.87760,-1.40329,-0.82009,51.56377,11.66711,12.26009,12.44367,15.19290
4057.88760,-1.39037,-0.83884,51.62128,11.69286,12.21856,12.46022,15.24964
4057.89760,-1.38531,-0.85094,51.67086,11.70359,12.20339,12.47872,15.28516
4057.90760,-1.41186,-0.86468,51.62844,11.62934,12.22688,12.50145,15.27077
4057.91760,-1.42037,-0.86909,51.61486,11.60559,12.23439,12.50872,15.26616
4057.92760,-1.44143,-0.85686,51.55501,11.59801,12.24197,12.46327,15.25177
4057.93760,-1.45388,-0.84248,51.54878,11.63283,12.23679,12.41072,15.26844
4057.94760,-1.45568,-0.83917,51.55286,11.64459,12.23439,12.39872,15.27516
4057.95760,-1.46161,-0.84892,51.55836,11.62009,12.23939,12.41872,15.28016
4057.96760,-1.44483,-0.86992,51.53120,11.59559,12.20387,12.45052,15.28123
4057.97760,-1.40977,-0.88729,51.48086,11.59559,12.14139,12.46872,15.27516
4057.98760,-1.41340,-0.88807,51.44366,11.58939,12.12868,12.45322,15.27237
4057.99760,-1.41926,-0.88933,51.38366,11.57939,12.10818,12.42822,15.26787
4058.00760,-1.42149,-0.88981,51.36086,11.57559,12.10039,12.41872,15.26616
4058.01760,-1.43587,-0.90916,51.39115,11.50607,12.14025,12.48533,15.25950
4058.02760,-1.42611,-0.89575,51.37686,11.49759,12.17239,12.49872,15.20816
4058.03760,-1.43244,-0.89454,51.38094,11.51238,12.16219,12.47832,15.22805
4058.04760,-1.40852,-0.89391,51.37415,11.54189,12.13097,12.47402,15.22727
4058.05760,-1.37968,-0.89442,51.36386,11.55659,12.11039,12.48872,15.20816
4058.06760,-1.39106,-0.89893,51.35638,11.54979,12.10359,12.47852,15.22448
4058.07760,-1.41316,-0.90768,51.34186,11.53659,12.09039,12.45872,15.25616
4058.08760,-1.40749,-0.91284,51.41832,11.54817,12.10236,12.48961,15.27817
4058.09760,-1.38778,-0.92229,51.52884,11.56659,12.11341,12.54632,15.30252
4058.10760,-1.37028,-0.92440,51.51086,11.56659,12.10039,12.55872,15.28516
4058.11760,-1.37411,-0.91646,51.45631,11.55154,12.10829,12.54367,15.25280
4058.12760,-1.36615,-0.90049,51.42454,11.55985,12.12139,12.52993,15.21336
4058.13760,-1.34223,-0.89586,51.52286,11.61559,12.12139,12.54872,15.23716
4058.14760,-1.33514,-0.88029,51.52813,11.63026,12.14434,12.54496,15.20857
4058.15760,-1.32338,-0.85448,51.53686,11.65459,12.18239,12.53872,15.16116
4058.16760,-1.32338,-0.85448,51.53686,11.65459,12.18239,12.53872,15.16116
4058.17760,-1.31720,-0.87359,51.40461,11.62984,12.10289,12.50872,15.16316
4058.18760,-1.34509,-0.87191,51.31686,11.58559,12.11039,12.47872,15.14216
4058.19760,-1.33802,-0.86687,51.32820,11.59790,12.11468,12.48010,15.13552
4058.20760,-1.31088,-0.84748,51.37182,11.64524,12.13117,12.48542,15.10999
4058.21760,-1.28140,-0.85597,51.36686,11.66459,12.09039,12.49872,15.11316
4058.22760,-1.28619,-0.85841,51.37354,11.65804,12.09454,12.50273,15.11824
4058.23760,-1.30534,-0.86817,51.40028,11.63183,12.11112,12.51877,15.13856
4058.24760,-1.31720,-0.87421,51.41686,11.61559,12.12139,12.52872,15.15116
4058.25760,-1.29126,-0.86036,51.41470,11.63243,12.13478,12.54167,15.10582
4058.26760,-1.25076,-0.81358,51.41754,11.71027,12.16376,12.51327,15.03025
4058.27760,-1.24592,-0.79187,51.42186,11.75259,12.17239,12.47872,15.01816
4058.28760,-1.26384,-0.78815,51.36086,11.75259,12.15239,12.42872,15.02716
4058.29760,-1.20172,-0.75845,51.58386,11.84159,12.23439,12.51872,14.98916
4058.30760,-1.20172,-0.75845,51.58386,11.84159,12.23439,12.51872,14.98916
4058.31760,-1.18229,-0.77096,51.51586,11.81259,12.20339,12.53872,14.96116
4058.32760,-1.18229,-0.77096,51.51586,11.81259,12.20339,12.53872,14.96116
4058.33760,-1.17157,-0.77136,51.40621,11.79269,12.17127,12.51951,14.92273
4058.34760,-1.11036,-0.82372,51.44086,11.80259,12.05939,12.59872,14.98016
4058.35760,-1.11036,-0.82372,51.44086,11.80259,12.05939,12.59872,14.98016
4058.36760,-1.13325,-0.78160,51.45330,11.83120,12.13160,12.54882,14.94168
4058.37760,-1.13530,-0.77805,51.39786,11.79259,12.15239,12.55872,14.89416
4058.38760,-1.13541,-0.77791,51.39951,11.79305,12.15301,12.55892,14.89454
4058.39760,-1.14576,-0.76451,51.56485,11.83905,12.21434,12.57892,14.93254
4058.40760,-1.15081,-0.75798,51.64586,11.86159,12.24439,12.58872,14.95116
4058.41760,-1.15174,-0.79103,51.53742,11.80914,12.17150,12.58872,14.96805
4058.42760,-1.11282,-0.78669,51.49768,11.84534,12.12662,12.57999,14.94573
4058.43760,-1.10712,-0.78545,51.49386,11.85159,12.12139,12.57872,14.94216
4058.44760,-1.10700,-0.76318,51.57636,11.85944,12.20232,12.61015,14.90445
4058.45760,-1.10138,-0.77548,51.50555,11.83901,12.16194,12.60367,14.90093
4058.46760,-1.09954,-0.78154,51.47486,11.83159,12.14139,12.59872,14.90316
4058.47760,-1.09181,-0.73051,51.35819,11.87628,12.15730,12.50781,14.81680
4058.48760,-1.08934,-0.71413,51.32086,11.89059,12.16239,12.47872,14.78916
4058.49760,-1.06162,-0.72202,51.39990,11.92048,12.15175,12.51925,14.80841
4058.50760,-1.05866,-0.73662,51.47769,11.91740,12.15831,12.56285,14.83913
4058.51760,-1.09272,-0.74649,51.47886,11.87159,12.18239,12.56872,14.85616
4058.52760,-1.04433,-0.71611,51.36845,11.92024,12.15058,12.52506,14.77258
4058.53760,-1.00429,-0.71081,51.43275,11.94959,12.16333,12.57387,14.74596
4058.54760,-0.99790,-0.71858,51.51086,11.94959,12.18239,12.61872,14.76016
4058.55760,-0.97289,-0.72852,51.49451,11.94141,12.16045,12.64884,14.74381
4058.56760,-0.93975,-0.74170,51.47286,11.93059,12.13139,12.68872,14.72216
4058.57760,-0.93939,-0.73620,51.41583,11.94020,12.10752,12.65225,14.71586
4058.58760,-0.93882,-0.72731,51.32385,11.95571,12.06902,12.59343,14.70570
4058.59760,-0.97212,-0.71391,51.49092,11.95959,12.17360,12.62986,14.72788
4058.60760,-0.97789,-0.71198,51.52386,11.95959,12.19339,12.63872,14.73216
4058.61760,-0.93917,-0.67658,51.48080,12.03780,12.17494,12.58599,14.68207
4058.62760,-0.88713,-0.66463,51.52386,12.10759,12.15239,12.59872,14.66516
