trial_id,label,subject,timestamp,duration_s,n_samples,mean_cop_x,mean_cop_y,rms_ml,rms_ap,range_ml,range_ap,path_length_cm,mean_velocity_cm_s,ellipse_area_cm2,anterior_pct,lr_asymmetry,mpf_ml,f50_ml,mpf_ap,f50_ap
0000_baseline_S01,baseline,S01,20260717-105310,10.000,1001,-0.456690,0.262281,0.338074,0.609568,1.779270,2.645295,23.834529,2.383453,3.836263,51.150354,2.109424,0.476997,0.199800,0.304895,0.199800
0001_neutral_S01,neutral,S01,20260717-105426,30.000,3001,0.205125,0.786214,0.118403,0.160372,0.674480,0.754145,50.442893,1.681430,0.309115,53.448306,0.947461,0.719875,0.099967,0.218928,0.033322
0002_neutral_S01,neutral,S01,20260717-105503,30.000,3001,0.004285,0.690308,0.146755,0.233838,0.673066,1.118846,52.250780,1.741693,0.572626,53.027665,0.019791,0.544753,0.099967,0.152409,0.033322
0003_neutral_S01,neutral,S01,20260717-105537,30.000,3001,-0.148852,0.465006,0.313313,0.184315,2.578953,1.005004,57.532532,1.917751,1.085189,52.039498,0.687536,0.540753,0.333222,0.438430,0.066644
0004_slouched_S01,slouched,S01,20260717-105712,30.000,3001,0.616434,-1.816840,0.400922,0.315589,2.224390,1.630383,63.075878,2.102529,2.107294,42.031404,2.847268,0.325048,0.066644,0.233193,0.133289
0005_slouched_S01,slouched,S01,20260717-105802,30.000,3001,0.626170,-2.546948,0.224075,0.188608,1.492659,0.925034,55.685581,1.856186,0.793336,38.829175,2.892240,0.593669,0.199933,0.298379,0.066644
0006_slouched_S01,slouched,S01,20260717-105850,30.010,3002,0.601368,-2.652829,0.330085,0.189211,2.338992,1.213709,65.169484,2.171592,1.160260,38.364785,2.777679,0.506075,0.266489,0.283338,0.099933
0007_baseline_S02,baseline,S02,20260717-110607,10.010,1002,-0.233271,-2.415299,0.181912,0.159373,0.771832,0.637846,15.462616,1.544717,0.535548,39.406584,1.077466,0.357460,0.099800,0.343798,0.199601
0008_slouched_S02,slouched,S02,20260717-110746,30.010,3002,1.302231,-5.052170,0.159897,0.359275,1.271595,2.197793,48.675875,1.621988,0.879352,27.841361,6.014923,0.448679,0.199867,0.201660,0.133245
0009_slouched_S02,slouched,S02,20260717-110822,30.000,3001,0.695531,-5.087367,0.343372,1.124766,1.680327,4.639569,55.316515,1.843884,7.266132,27.686988,3.212614,0.243235,0.099967,0.101720,0.066644
0010_slouched_S02,slouched,S02,20260717-110915,30.000,3001,1.874762,-6.060175,0.421262,0.462646,1.764649,2.353877,50.552892,1.685096,3.591658,23.420284,8.659408,0.170506,0.066644,0.174934,0.099967
0011_neutral_S02,neutral,S02,20260717-111058,30.010,3002,-0.067955,-2.724426,0.140181,0.137690,0.801661,0.799340,45.528144,1.517099,0.357774,38.050765,0.313880,0.529562,0.199867,0.313844,0.066622
0012_neutral_S02,neutral,S02,20260717-111140,30.010,3002,0.533290,-3.102728,0.182397,0.125676,1.153608,0.605468,47.397045,1.579375,0.400442,36.391545,2.463235,0.344037,0.066622,0.302399,0.033311
0013_neutral_S02,neutral,S02,20260717-111220,30.000,3001,0.022087,-2.807894,0.229266,0.662578,1.406337,3.134401,51.015996,1.700533,1.921476,37.684675,0.102018,0.313060,0.099967,0.128380,0.066644
0014_baseline_S03,baseline,S03,20260717-111307,10.000,1001,-0.234860,-3.931131,0.135470,0.377891,0.623926,1.647622,17.663835,1.766384,0.962525,32.758199,1.084802,0.513053,0.199800,0.312828,0.199800
0015_neutral_S03,neutral,S03,20260717-111456,30.000,3001,0.216394,-2.705489,0.155367,0.337569,0.842339,2.168002,55.716532,1.857218,0.985179,38.133819,0.999511,0.498518,0.199933,0.364692,0.333222
0016_neutral_S03,neutral,S03,20260717-111531,30.000,3001,0.580580,-1.190807,0.175054,0.744216,1.421720,3.679307,66.092574,2.203086,2.439051,44.777163,2.681665,0.885427,0.266578,0.198818,0.166611
0017_neutral_S03,neutral,S03,20260717-111610,30.000,3001,0.748473,-1.354347,0.206434,0.401084,1.136544,2.082497,66.474660,2.215822,1.556678,44.059879,3.457151,0.508618,0.133289,0.422297,0.333222
0018_slouched_S03,slouched,S03,20260717-111719,30.000,3001,-0.504969,-5.146407,0.159359,0.126465,0.957493,0.856106,58.364455,1.945482,0.379087,27.428041,2.332420,0.613231,0.299900,0.499289,0.033322
0019_slouched_S03,slouched,S03,20260717-111807,30.000,3001,-0.704661,-4.881072,0.483067,0.075185,1.959728,0.504588,55.350813,1.845027,0.683566,28.591791,3.254784,0.172981,0.033322,0.988630,0.466511
0020_slouched_S03,slouched,S03,20260717-111848,30.000,3001,-0.276325,-4.551407,0.196744,0.164521,1.070901,0.736949,57.167187,1.905573,0.557436,30.037688,1.276329,0.447757,0.099967,0.330973,0.033322
0021_baseline_S04,baseline,S04,20260717-112016,10.000,1001,0.331663,-4.194938,0.216522,0.440839,1.137179,1.975126,17.255471,1.725547,1.692798,31.601151,1.531930,0.573587,0.499500,0.333236,0.099900
0022_slouched_S04,slouched,S04,20260717-112138,30.000,3001,1.448928,-2.899030,0.250028,0.117532,1.781933,0.849800,42.763077,1.425436,0.532037,37.284956,6.692510,0.477196,0.133289,0.689327,0.399867
0023_slouched_S04,slouched,S04,20260717-112226,30.000,3001,1.522074,-2.924579,0.301845,0.326165,1.966469,1.700423,47.757712,1.591924,1.801426,37.172897,7.030364,0.281631,0.166611,0.226769,0.099967
0024_slouched_S04,slouched,S04,20260717-112310,30.000,3001,2.076538,-2.647426,0.643213,0.367007,3.379526,2.100872,56.669125,1.888971,4.128669,38.388484,9.591400,0.217526,0.066644,0.223492,0.099967
0025_neutral_S04,neutral,S04,20260717-112406,30.000,3001,1.688783,-3.406395,0.330687,0.298898,2.117745,1.985404,52.224979,1.740833,1.827629,35.059672,7.800382,0.362080,0.166611,0.418552,0.233256
0026_neutral_S04,neutral,S04,20260717-112440,30.010,3002,1.990371,-3.567832,0.277060,0.211425,1.598130,1.057938,47.098069,1.569413,1.101843,34.351613,9.193400,0.310105,0.166556,0.251358,0.066622
0027_neutral_S04,neutral,S04,20260717-112512,30.000,3001,1.782759,-3.742972,0.328390,0.177667,2.430846,0.940602,48.089734,1.602991,1.097136,33.583455,8.234453,0.357015,0.233256,0.392343,0.199933
0028_baseline_S05,baseline,S05,20260720-090114,10.000,1001,-0.351908,-2.751022,0.116976,0.346217,0.729438,1.643689,24.209164,2.420916,0.691758,37.934114,1.625440,1.372054,0.699301,0.754074,0.199800
0029_neutral_S05,neutral,S05,20260720-090226,30.000,3001,-1.434328,1.211962,0.246797,0.367585,1.195643,1.596696,81.998053,2.733268,1.692072,55.315625,6.625071,0.620884,0.166611,0.310884,0.099967
0030_neutral_S05,neutral,S05,20260720-090333,30.000,3001,-1.088695,-1.125691,0.079464,0.232703,0.582892,1.221910,72.716116,2.423871,0.332439,45.062757,5.028615,2.077636,0.499833,0.244082,0.133289
0031_neutral_S05,neutral,S05,20260720-090420,30.000,3001,-1.145311,-1.156966,0.159578,0.216050,0.752842,0.961702,71.336630,2.377888,0.340174,44.925587,5.290122,0.604545,0.033322,0.238972,0.066644
0032_slouched_S05,slouched,S05,20260720-090523,30.000,3001,-1.279117,-4.738276,0.186535,0.461262,1.097424,1.445777,74.570628,2.485688,1.368023,29.218088,5.908162,0.499047,0.033322,0.126508,0.033322
0033_slouched_S05,slouched,S05,20260720-090607,30.000,3001,-1.386361,-5.220618,0.359100,0.652283,1.453799,2.588779,76.523469,2.550782,3.865404,27.102554,6.403514,0.211326,0.033322,0.219418,0.066644
0034_slouched_S05,slouched,S05,20260720-090654,30.000,3001,-1.157782,-5.050909,0.535515,0.810575,1.983273,3.329145,82.120969,2.737366,7.424162,27.846892,5.347724,0.166472,0.033322,0.116941,0.033322
0035_baseline_S06,baseline,S06,20260721-091759,10.000,1001,-0.218398,-2.822848,0.358435,0.542153,1.455695,2.438783,19.877073,1.987707,3.011182,37.619087,1.008768,0.296762,0.099900,0.245009,0.099900
0036_slouched_S06,slouched,S06,20260721-091930,30.000,3001,0.400244,-0.929411,0.187728,0.246374,0.854148,0.802044,51.735559,1.724519,0.443008,45.923636,1.848703,0.346071,0.033322,0.144284,0.033322
0037_slouched_S06,slouched,S06,20260721-092020,30.010,3002,0.154424,-0.645155,0.117513,0.135300,0.622463,0.567140,52.602480,1.752832,0.266691,47.170371,0.713275,0.693728,0.066622,0.299505,0.033311
0038_slouched_S06,slouched,S06,20260721-092109,30.000,3001,0.011356,-2.702870,0.092252,0.103455,1.096522,0.896758,57.486872,1.916229,0.161966,38.145307,0.052451,1.615873,0.466511,0.791159,0.133289
0039_neutral_S06,neutral,S06,20260721-092211,30.000,3001,-0.470706,-2.189901,0.243446,0.114708,1.040933,0.615915,52.353460,1.745115,0.401496,40.395172,2.174163,0.268309,0.066644,0.424112,0.099967
0040_neutral_S06,neutral,S06,20260721-092254,30.000,3001,-0.482320,-1.745866,0.143237,0.129950,0.833398,0.611189,53.166452,1.772215,0.244975,42.342694,2.227806,0.601306,0.033322,0.308096,0.033322
0041_neutral_S06,neutral,S06,20260721-092342,30.000,3001,-0.314496,-1.606203,0.105108,0.102926,0.712374,0.517910,50.198945,1.673298,0.198351,42.955249,1.452638,0.825064,0.199933,0.382733,0.033322
0042_baseline_S07,baseline,S07,20260721-093551,10.000,1001,-1.200789,-1.708263,0.165958,0.142563,0.745659,0.669806,18.801029,1.880103,0.435823,42.507617,5.546368,0.712821,0.399600,0.879331,0.299700
0043_neutral_S07,neutral,S07,20260721-093747,30.000,3001,0.296417,-0.527303,0.128727,0.076797,0.691497,0.444300,48.204440,1.606815,0.174629,47.687268,1.369131,0.489241,0.033322,1.006823,0.433189
0044_neutral_S07,neutral,S07,20260721-093832,30.000,3001,-0.218264,-0.117430,0.086909,0.061640,0.444307,0.310882,47.032036,1.567735,0.097651,49.484955,1.008149,0.881062,0.033322,1.211302,0.233256
0045_neutral_S07,neutral,S07,20260721-093915,30.000,3001,0.200664,0.792719,0.060182,0.092525,0.735058,0.464251,46.582308,1.552744,0.100630,53.476839,0.926855,2.190123,0.433189,0.609593,0.066644
0046_slouched_S07,slouched,S07,20260721-094025,30.000,3001,-0.607002,2.082733,0.127425,0.084864,0.756670,0.695602,53.541546,1.784718,0.201956,59.134795,2.803704,0.730535,0.099967,1.295948,0.266578
0047_slouched_S07,slouched,S07,20260721-094110,30.000,3001,-0.555670,1.747451,0.085756,0.081163,0.713270,0.466504,53.557845,1.785261,0.128342,57.664260,2.566605,1.119775,0.266578,1.364923,0.299900
0048_slouched_S07,slouched,S07,20260721-094157,30.000,3001,-0.334269,2.351369,0.135300,0.155740,0.784101,0.794188,55.658110,1.855270,0.393012,60.313022,1.543970,0.512809,0.133289,0.541902,0.099967
