feature_set,model,train,lopo,kfold,train_minus_lopo,kfold_minus_lopo,perm_null_mean,perm_p_LOPO,sig_05
8 CoP (base),LogReg,0.842,0.7,0.8,0.142,0.1,0.51,0.041,yes
8 CoP (base),RForest,1.0,0.8,0.833,0.2,0.033,0.496,0.017,yes
+height,LogReg,0.85,0.667,0.767,0.183,0.1,0.511,0.058,no
+height,RForest,1.0,0.733,0.933,0.267,0.2,0.503,0.033,yes
+weight,LogReg,0.875,0.633,0.8,0.242,0.167,0.514,0.157,no
+weight,RForest,1.0,0.7,0.933,0.3,0.233,0.502,0.058,no
+BMI,LogReg,0.867,0.7,0.8,0.167,0.1,0.513,0.033,yes
+BMI,RForest,1.0,0.7,0.933,0.3,0.233,0.501,0.05,yes
+gender,LogReg,0.883,0.667,0.8,0.217,0.133,0.511,0.074,no
+gender,RForest,1.0,0.7,0.933,0.3,0.233,0.501,0.058,no
+ALL demo,LogReg,0.9,0.533,0.833,0.367,0.3,0.509,0.471,no
+ALL demo,RForest,1.0,0.767,0.833,0.233,0.067,0.503,0.033,yes
