model,window,norm,n_win,win_acc,trial_acc,trial_f1,sub_S01,sub_S02,sub_S03,sub_S04,sub_S05
LogReg,whole,off,30,0.7,0.7,0.696969696969697,0.5,0.67,0.83,0.5,1.0
DTree,whole,off,30,0.7333333333333333,0.7333333333333333,0.7321428571428572,1.0,0.67,0.67,0.5,0.83
RForest,whole,off,30,0.7666666666666667,0.7666666666666667,0.7664071190211346,0.67,1.0,0.83,0.5,0.83
LogReg,whole,on,30,0.7666666666666667,0.7666666666666667,0.7664071190211346,1.0,1.0,0.67,0.17,1.0
DTree,whole,on,30,0.6,0.6,0.5982142857142857,1.0,0.67,0.33,0.17,0.83
RForest,whole,on,30,0.6333333333333333,0.6333333333333333,0.6296296296296295,0.83,0.5,0.5,0.5,0.83
LogReg,10s,off,120,0.7,0.7,0.696969696969697,0.5,0.67,0.83,0.5,1.0
DTree,10s,off,120,0.625,0.6,0.5927601809954751,0.5,0.33,0.67,0.5,1.0
RForest,10s,off,120,0.6666666666666666,0.7333333333333333,0.7285067873303167,0.67,0.83,0.67,0.5,1.0
LogReg,10s,on,120,0.7416666666666667,0.7666666666666667,0.7664071190211346,1.0,0.5,0.83,0.5,1.0
DTree,10s,on,120,0.425,0.43333333333333335,0.41714285714285715,0.5,0.67,0.0,0.5,0.5
RForest,10s,on,120,0.5,0.4666666666666667,0.4444444444444444,0.5,0.67,0.33,0.17,0.67
LogReg,5s,off,270,0.674074074074074,0.7,0.696969696969697,0.5,0.67,0.83,0.5,1.0
DTree,5s,off,270,0.6148148148148148,0.6333333333333333,0.6329254727474972,0.5,0.33,0.67,0.67,1.0
RForest,5s,off,270,0.6666666666666666,0.6333333333333333,0.6228571428571429,0.5,0.5,0.67,0.5,1.0
LogReg,5s,on,270,0.7777777777777778,0.7666666666666667,0.7664071190211346,1.0,0.5,0.83,0.5,1.0
DTree,5s,on,270,0.6296296296296297,0.6666666666666666,0.6666666666666666,0.67,0.67,0.5,0.5,1.0
RForest,5s,on,270,0.5,0.5333333333333333,0.5248868778280543,0.5,0.67,0.5,0.33,0.67
LogReg,2s,off,720,0.6847222222222222,0.7,0.696969696969697,0.5,0.67,0.83,0.5,1.0
DTree,2s,off,720,0.5791666666666667,0.5666666666666667,0.5661846496106786,0.5,0.33,0.67,0.33,1.0
RForest,2s,off,720,0.6333333333333333,0.6333333333333333,0.6228571428571429,0.5,0.5,0.67,0.5,1.0
LogReg,2s,on,720,0.6944444444444444,0.7,0.696969696969697,0.5,0.5,1.0,0.5,1.0
DTree,2s,on,720,0.7041666666666667,0.7,0.699666295884316,1.0,0.67,0.33,0.5,1.0
RForest,2s,on,720,0.6347222222222222,0.6666666666666666,0.6666666666666666,1.0,0.67,0.5,0.5,0.67
LogReg,1s,off,1470,0.7047619047619048,0.7333333333333333,0.7321428571428572,0.5,0.67,1.0,0.5,1.0
DTree,1s,off,1470,0.573469387755102,0.5666666666666667,0.5661846496106786,0.5,0.17,0.67,0.5,1.0
RForest,1s,off,1470,0.6421768707482993,0.6333333333333333,0.6228571428571429,0.5,0.5,0.67,0.5,1.0
LogReg,1s,on,1470,0.6952380952380952,0.7,0.696969696969697,0.5,0.5,1.0,0.5,1.0
DTree,1s,on,1470,0.7095238095238096,0.7333333333333333,0.7321428571428572,1.0,0.83,0.33,0.5,1.0
RForest,1s,on,1470,0.6585034013605442,0.7,0.699666295884316,1.0,0.67,0.67,0.5,0.67
