time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
3166.44130,-0.46046,-3.75674,86.46873,14.30323,14.68373,28.01160,29.47017
3166.45130,-0.48676,-3.75302,86.35609,14.26209,14.70123,27.94517,29.44760
3166.46130,-0.47400,-3.74186,86.41973,14.31223,14.71473,27.95160,29.44117
3166.47130,-0.48257,-3.74657,86.46302,14.30150,14.72213,27.96640,29.47299
3166.48130,-0.49713,-3.75458,86.53673,14.28323,14.73473,27.99160,29.52717
3166.49130,-0.49713,-3.75458,86.53673,14.28323,14.73473,27.99160,29.52717
3166.50130,-0.46688,-3.79726,86.50682,14.22573,14.62026,28.09493,29.56590
3166.51130,-0.47317,-3.80834,86.47973,14.19423,14.60073,28.10060,29.58417
3166.52130,-0.47914,-3.80614,86.48277,14.19011,14.61419,28.09430,29.58417
3166.53130,-0.49483,-3.80037,86.49077,14.17925,14.64962,28.07773,29.58417
3166.54130,-0.50743,-3.81171,86.53303,14.16276,14.63715,28.08969,29.64343
3166.55130,-0.51152,-3.81983,86.55673,14.15523,14.62173,28.10060,29.67917
3166.56130,-0.50733,-3.83675,86.41873,14.07623,14.59073,28.12060,29.63117
3166.57130,-0.50452,-3.83998,86.43259,14.08118,14.57810,28.12803,29.64528
3166.58130,-0.50188,-3.85182,86.48471,14.07746,14.55422,28.16248,29.69055
3166.59130,-0.52077,-3.85823,86.51673,14.01723,14.60073,28.20060,29.69817
3166.60130,-0.51301,-3.85536,86.50437,14.03881,14.58594,28.18848,29.69114
3166.61130,-0.49511,-3.84913,86.43808,14.08504,14.54138,28.14563,29.66603
3166.62130,-0.52049,-3.86010,86.32749,14.00027,14.54800,28.12577,29.65344
3166.63130,-0.52710,-3.86295,86.29873,13.97823,14.54973,28.12060,29.65017
3166.64130,-0.48441,-3.86180,86.30673,14.04723,14.48773,28.14060,29.63117
3166.65130,-0.48217,-3.86354,86.30287,14.04337,14.48374,28.14704,29.62873
3166.66130,-0.47011,-3.87561,86.29917,14.01723,14.46297,28.19540,29.62357
3166.67130,-0.49279,-3.87786,86.46373,14.01723,14.50873,28.23060,29.70717
3166.68130,-0.49438,-3.87911,86.46142,14.01294,14.50752,28.23060,29.71036
3166.69130,-0.50708,-3.89036,86.45131,13.97677,14.49773,28.23647,29.74035
3166.70130,-0.50612,-3.90064,86.52931,13.96343,14.49773,28.28980,29.77835
3166.71130,-0.50575,-3.90465,86.55973,13.95823,14.49773,28.31060,29.79317
3166.72130,-0.49865,-3.89913,86.58944,13.97804,14.50862,28.31951,29.78327
3166.73130,-0.49858,-3.89908,86.58973,13.97823,14.50873,28.31960,29.78317
3166.74130,-0.48566,-3.90954,86.60571,13.96982,14.48266,28.36165,29.79158
3166.75130,-0.48913,-3.92539,86.61269,13.96823,14.42632,28.35971,29.85841
3166.76130,-0.48919,-3.92555,86.61273,13.96823,14.42573,28.35960,29.85917
3166.77130,-0.48991,-3.94242,86.52109,13.87420,14.42573,28.40741,29.81375
3166.78130,-0.50225,-3.94384,86.60143,13.87660,14.44418,28.41960,29.86105
3166.79130,-0.50393,-3.94345,86.61573,13.88023,14.44673,28.41960,29.86917
3166.80130,-0.47808,-3.96789,86.49219,13.83673,14.35712,28.45440,29.84394
3166.81130,-0.47421,-3.97154,86.47373,13.83023,14.34373,28.45960,29.84017
3166.82130,-0.48552,-3.97916,86.38228,13.77157,14.34373,28.45097,29.81602
3166.83130,-0.47643,-4.00510,86.42916,13.77891,14.25334,28.48470,29.91221
