time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
4590.58440,-0.05935,-4.70050,49.70086,7.32559,7.27839,17.45672,17.64016
4590.59440,-0.05935,-4.70050,49.70086,7.32559,7.27839,17.45672,17.64016
4590.60440,-0.05591,-4.70707,49.67967,7.32559,7.25786,17.45010,17.64612
4590.61440,-0.08135,-4.70830,49.68546,7.31057,7.27189,17.43882,17.66418
4590.62440,-0.08856,-4.70774,49.68986,7.30659,7.27839,17.43672,17.66816
4590.63440,-0.08463,-4.70990,49.76816,7.31529,7.28796,17.47152,17.69339
4590.64440,-0.07023,-4.69409,49.74799,7.31659,7.31523,17.47672,17.63945
4590.65440,-0.02636,-4.70435,49.83842,7.31659,7.31939,17.57228,17.63016
4590.66440,-0.03551,-4.70342,49.77224,7.31079,7.30779,17.53452,17.61914
4590.67440,-0.04671,-4.70134,49.71386,7.30659,7.29939,17.49672,17.61116
4590.68440,-0.03393,-4.69248,49.77311,7.33584,7.30689,17.51172,17.61866
4590.69440,0.00229,-4.68536,49.73420,7.36786,7.27895,17.50187,17.58552
4590.70440,0.01339,-4.68391,49.71386,7.37559,7.26839,17.49672,17.57316
4590.71440,-0.00810,-4.69673,49.67917,7.33743,7.26839,17.49287,17.58048
4590.72440,-0.03719,-4.71409,49.63230,7.28587,7.26839,17.48766,17.59038
4590.73440,-0.05976,-4.73962,49.61350,7.24292,7.25027,17.49535,17.62496
4590.74440,-0.06251,-4.74317,49.61186,7.23759,7.24739,17.49672,17.63016
4590.75440,-0.01447,-4.74243,49.73986,7.29659,7.22739,17.55672,17.65916
4590.76440,-0.01439,-4.74200,49.73853,7.29714,7.22739,17.55560,17.65841
4590.77440,-0.01318,-4.70400,49.63026,7.34211,7.23351,17.45792,17.59672
4590.78440,-0.05457,-4.70342,49.69186,7.31659,7.27839,17.46672,17.63016
4590.79440,-0.05369,-4.70277,49.70473,7.31164,7.28854,17.47910,17.62546
4590.80440,-0.05843,-4.69511,49.74916,7.30468,7.32525,17.50277,17.61646
4590.81440,-0.07755,-4.68044,49.76286,7.32559,7.34039,17.46672,17.63016
4590.82440,-0.06600,-4.68058,49.74229,7.32559,7.33404,17.46974,17.61292
4590.83440,-0.04239,-4.68085,49.70032,7.32559,7.32108,17.47592,17.57773
4590.84440,-0.05807,-4.69034,49.69931,7.30628,7.31939,17.47672,17.59692
4590.85440,-0.08730,-4.71445,49.65786,7.27209,7.28889,17.45672,17.64016
