time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
2740.29710,-1.02884,0.89790,81.15281,21.69329,22.07905,16.95487,20.42561
2740.30710,-1.05993,0.90589,81.30509,21.73053,22.15243,16.93176,20.49037
2740.31710,-1.05293,0.89943,81.33181,21.71329,22.16105,16.97487,20.48261
2740.32710,-1.04856,0.89914,81.31981,21.71079,22.15605,16.97987,20.47311
2740.33710,-1.03544,0.89828,81.28381,21.70329,22.14105,16.99487,20.44461
2740.34710,-1.04080,0.89803,81.28590,21.69887,22.14570,16.99022,20.45111
2740.35710,-1.05790,0.89654,81.26689,21.68269,22.14633,16.96527,20.47261
2740.36710,-1.05539,0.89380,81.15889,21.67602,22.08500,16.92527,20.47261
2740.37710,-1.05474,0.89309,81.13081,21.67429,22.06905,16.91487,20.47261
2740.38710,-1.05092,0.90428,81.26081,21.73329,22.12005,16.92487,20.48261
2740.39710,-1.05092,0.90428,81.26081,21.73329,22.12005,16.92487,20.48261
2740.40710,-1.05295,0.90130,81.25354,21.71874,22.12005,16.93214,20.48261
2740.41710,-1.04732,0.89925,81.27529,21.71010,22.13309,16.96168,20.47041
2740.42710,-1.03468,0.90359,81.32281,21.73329,22.15105,16.98487,20.45361
2740.43710,-1.05762,0.89807,81.35202,21.69914,22.18125,16.98982,20.48182
2740.44710,-1.08163,0.88763,81.39456,21.67409,22.19196,16.98996,20.53855
2740.45710,-1.08226,0.88263,81.40781,21.68429,22.17105,16.98487,20.56761
2740.46710,-1.08283,0.89340,81.30797,21.68861,22.15137,16.93207,20.53593
2740.47710,-1.08418,0.90697,81.21664,21.69879,22.14028,16.87597,20.50161
2740.48710,-1.08888,0.92104,81.35387,21.74270,22.22064,16.88840,20.50214
2740.49710,-1.07709,0.91194,81.36350,21.73735,22.19872,16.92048,20.50695
2740.50710,-1.06812,0.90502,81.37081,21.73329,22.18205,16.94487,20.51061
2740.51710,-1.05560,0.90113,81.32131,21.73329,22.14146,16.94487,20.50170
2740.52710,-1.10091,0.88975,81.25448,21.60657,22.19154,16.95477,20.50161
2740.53710,-1.10137,0.88963,81.25381,21.60529,22.19205,16.95487,20.50161
2740.54710,-1.11224,0.90087,81.39848,21.67319,22.24224,16.93518,20.54786
2740.55710,-1.11241,0.90105,81.40081,21.67429,22.24305,16.93487,20.54861
2740.56710,-1.09513,0.90246,81.33237,21.67429,22.21116,16.93487,20.51205
2740.57710,-1.09717,0.90899,81.30421,21.68289,22.21065,16.90907,20.50161
2740.58710,-1.09831,0.90999,81.30281,21.68429,22.21205,16.90487,20.50161
2740.59710,-1.09845,0.90774,81.27445,21.67971,22.19330,16.89572,20.50572
2740.60710,-1.09861,0.90512,81.24147,21.67439,22.17149,16.88508,20.51051
2740.61710,-1.11628,0.90307,81.33181,21.66429,22.22305,16.90487,20.53961
2740.62710,-1.10553,0.89486,81.43243,21.68923,22.22305,16.94787,20.57229
2740.63710,-1.10378,0.89352,81.44881,21.69329,22.22305,16.95487,20.57761
2740.64710,-1.08443,0.89759,81.37399,21.68555,22.20499,16.96347,20.51999
2740.65710,-1.11616,0.90107,81.35493,21.66709,22.22556,16.91327,20.54902
2740.66710,-1.14212,0.90315,81.34981,21.65429,22.24305,16.87487,20.57761
2740.67710,-1.13961,0.90176,81.32810,21.64315,22.23749,16.88043,20.56703
2740.68710,-1.12129,0.89198,81.27576,21.62026,22.19729,16.91291,20.54528
2740.69710,-1.11433,0.88829,81.26081,21.61429,22.18205,16.92487,20.53961
2740.70710,-1.11863,0.88921,81.27784,21.64048,22.16830,16.89867,20.57039
2740.71710,-1.12090,0.88969,81.28681,21.65429,22.16105,16.88487,20.58661
2740.72710,-1.11916,0.86770,81.25215,21.58566,22.13263,16.94032,20.59354
2740.73710,-1.11368,0.87381,81.26845,21.58400,22.16483,16.96000,20.55962
2740.74710,-1.10871,0.89051,81.30181,21.61429,22.21205,16.95487,20.52061
2740.75710,-1.11270,0.88618,81.33048,21.62039,22.20595,16.95487,20.54928
2740.76710,-1.11976,0.87615,81.30543,21.60178,22.17530,16.94834,20.58000
2740.77710,-1.12715,0.86423,81.23431,21.56488,22.13145,16.93765,20.60032
2740.78710,-1.12056,0.86822,81.27312,21.57993,22.15148,16.95335,20.58835
2740.79710,-1.11527,0.87262,81.30881,21.59529,22.17105,16.96487,20.57761
2740.80710,-1.11650,0.86997,81.32528,21.60688,22.15885,16.95877,20.60079
2740.81710,-1.12118,0.87198,81.30104,21.59660,22.16325,16.94877,20.59243
2740.82710,-1.12367,0.87435,81.27881,21.58529,22.17105,16.94487,20.57761
2740.83710,-1.12019,0.87550,81.22981,21.57415,22.15992,16.93930,20.55645
2740.84710,-1.11742,0.87642,81.19081,21.56529,22.15105,16.93487,20.53961
2740.85710,-1.11390,0.86783,81.30549,21.57749,22.16996,16.98367,20.57438
2740.86710,-1.11324,0.86991,81.35834,21.59716,22.18615,16.99030,20.58473
2740.87710,-1.11553,0.88082,81.32881,21.61429,22.19205,16.95487,20.56761
2740.88710,-1.10762,0.87801,81.41113,21.64369,22.19695,16.97937,20.59113
2740.89710,-1.08099,0.87477,81.44340,21.67429,22.17216,17.01418,20.58278
2740.90710,-1.06178,0.87444,81.38781,21.67429,22.14105,17.02387,20.54861
2740.91710,-1.08010,0.87878,81.38381,21.67762,22.15105,16.98420,20.57094
2740.92710,-1.11674,0.88746,81.37581,21.68429,22.17105,16.90487,20.61561
2740.93710,-1.11833,0.88818,81.35151,21.66978,22.17504,16.90487,20.60182
2740.94710,-1.11515,0.88152,81.30096,21.63036,22.16348,16.92630,20.58082
2740.95710,-1.10438,0.86725,81.28681,21.60529,22.13005,16.96487,20.58661
2740.96710,-1.09106,0.87525,81.29569,21.63452,22.13412,16.96487,20.56219
2740.97710,-1.08297,0.88255,81.29213,21.64436,22.14838,16.96853,20.53086
2740.98710,-1.10821,0.87161,81.25981,21.57529,22.16105,16.97487,20.54861
2740.99710,-1.10395,0.87420,81.27505,21.59494,22.15884,16.97045,20.55082
2741.00710,-1.09210,0.88140,81.31738,21.64954,22.15271,16.95818,20.55695
