time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
2693.96640,-1.43991,-0.62267,81.45581,18.20829,20.29505,19.81087,23.14161
2693.97640,-1.43991,-0.62267,81.45581,18.20829,20.29505,19.81087,23.14161
2693.98640,-1.44892,-0.62344,81.55112,18.20225,20.34338,19.84442,23.16107
2693.99640,-1.45332,-0.62382,81.59781,18.19929,20.36705,19.86087,23.17061
2694.00640,-1.46605,-0.61336,81.39181,18.14929,20.35705,19.79087,23.09461
2694.01640,-1.43488,-0.61216,81.55048,18.21529,20.37039,19.85753,23.10727
2694.02640,-1.41934,-0.61157,81.62981,18.24829,20.37705,19.89087,23.11361
2694.03640,-1.42964,-0.62542,81.48081,18.16929,20.33605,19.88087,23.09461
2694.04640,-1.45435,-0.62785,81.34681,18.16929,20.26405,19.77187,23.14161
2694.05640,-1.45814,-0.62982,81.33348,18.15595,20.26405,19.77187,23.14161
2694.06640,-1.44205,-0.62556,81.51616,18.19027,20.33127,19.85301,23.14161
2694.07640,-1.43811,-0.62441,81.55781,18.19929,20.34605,19.87087,23.14161
2694.08640,-1.43496,-0.62118,81.51075,18.19929,20.33536,19.85482,23.12129
2694.09640,-1.43068,-0.62011,81.49672,18.20176,20.33008,19.85387,23.11102
2694.10640,-1.42037,-0.63173,81.67681,18.21829,20.35705,19.94087,23.16061
2694.11640,-1.42492,-0.63339,81.66503,18.21283,20.35102,19.93225,23.16894
2694.12640,-1.43620,-0.63750,81.63581,18.19929,20.33605,19.91087,23.18961
2694.13640,-1.41271,-0.63818,81.59450,18.22428,20.28913,19.91087,23.17023
2694.14640,-1.40107,-0.64457,81.52584,18.21409,20.24405,19.91087,23.15682
2694.15640,-1.40903,-0.64873,81.50481,18.18929,20.24405,19.91087,23.16061
2694.16640,-1.45302,-0.63133,81.53717,18.16671,20.34413,19.86572,23.16061
2694.17640,-1.42822,-0.61989,81.63115,18.23429,20.36190,19.88875,23.14621
2694.18640,-1.41567,-0.61806,81.65781,18.25829,20.35705,19.90087,23.14161
2694.19640,-1.41495,-0.61628,81.56931,18.23329,20.34655,19.88587,23.10361
2694.20640,-1.41423,-0.61450,81.48081,18.20829,20.33605,19.87087,23.06561
2694.21640,-1.40219,-0.63286,81.46488,18.18729,20.28392,19.90707,23.08661
2694.22640,-1.40397,-0.62738,81.51569,18.19892,20.31589,19.91583,23.08504
2694.23640,-1.41026,-0.61508,81.57181,18.21829,20.36705,19.91087,23.07561
2694.24640,-1.40131,-0.61454,81.53577,18.22550,20.34470,19.90366,23.06191
2694.25640,-1.40154,-0.61647,81.50451,18.23581,20.31273,19.87829,23.07768
2694.26640,-1.40276,-0.61717,81.49881,18.23829,20.30505,19.87087,23.08461
2694.27640,-1.41366,-0.61944,81.48413,18.20694,20.32132,19.87483,23.08104
2694.28640,-1.43024,-0.62290,81.46181,18.15929,20.34605,19.88087,23.07561
2694.29640,-1.41056,-0.61816,81.47781,18.18379,20.34605,19.90087,23.04711
2694.30640,-1.39266,-0.61326,81.50096,18.21622,20.34209,19.91293,23.02972
2694.31640,-1.39536,-0.61301,81.51181,18.22829,20.33605,19.90087,23.04661
2694.32640,-1.38123,-0.60696,81.50731,18.25779,20.32605,19.89587,23.02761
2694.33640,-1.36709,-0.60091,81.50281,18.28729,20.31605,19.89087,23.00861
2694.34640,-1.38222,-0.62667,81.49969,18.22616,20.28362,19.92205,23.06786
2694.35640,-1.39024,-0.63105,81.50525,18.20727,20.28947,19.92847,23.08005
2694.36640,-1.38955,-0.62422,81.50981,18.21829,20.30505,19.92087,23.06561
2694.37640,-1.39847,-0.61281,81.58478,18.26176,20.33781,19.89567,23.08955
2694.38640,-1.39966,-0.61475,81.64078,18.28162,20.33752,19.89977,23.12188
2694.39640,-1.39728,-0.61981,81.64781,18.27829,20.32605,19.91087,23.13261
2694.40640,-1.40552,-0.62287,81.56626,18.23293,20.32189,19.90254,23.10889
2694.41640,-1.41712,-0.62718,81.45181,18.16929,20.31605,19.89087,23.07561
2694.42640,-1.39950,-0.62916,81.46404,18.18632,20.29771,19.91271,23.06731
2694.43640,-1.37624,-0.62703,81.45608,18.20829,20.27961,19.93077,23.03742
2694.44640,-1.37571,-0.62243,81.43281,18.20829,20.28505,19.92087,23.01861
2694.45640,-1.38294,-0.62371,81.49280,18.21118,20.30592,19.93246,23.04324
2694.46640,-1.39707,-0.62623,81.61041,18.21687,20.34683,19.95518,23.09153
2694.47640,-1.36839,-0.62835,81.61849,18.23299,20.32691,19.99690,23.06169
2694.48640,-1.35679,-0.62889,81.61081,18.23829,20.31605,20.00987,23.04661
2694.49640,-1.36717,-0.63018,81.49064,18.22976,20.26321,19.94254,23.05513
2694.50640,-1.36897,-0.63040,81.46981,18.22829,20.25405,19.93087,23.05661
2694.51640,-1.35318,-0.62944,81.57785,18.25507,20.28173,19.98444,23.05661
