time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
2637.19410,-0.23436,-1.94008,83.28181,16.40229,18.15205,24.78787,23.93961
2637.20410,-0.21566,-1.94973,83.28006,16.41106,18.10732,24.81418,23.94750
2637.21410,-0.18749,-1.96705,83.20081,16.37229,18.05005,24.86787,23.91061
2637.22410,-0.19680,-1.95847,83.19738,16.37229,18.07994,24.84827,23.89689
2637.23410,-0.19536,-1.94904,83.21512,16.39004,18.10395,24.84207,23.87906
2637.24410,-0.17514,-1.94813,83.25381,16.42229,18.09105,24.86787,23.87261
2637.25410,-0.18359,-1.95555,83.22368,16.40159,18.07219,24.85739,23.89252
2637.26410,-0.20085,-1.97070,83.16218,16.35934,18.03368,24.83600,23.93316
2637.27410,-0.20228,-1.97817,83.14581,16.33995,18.01905,24.84453,23.94227
2637.28410,-0.19200,-1.98159,83.15981,16.33329,18.01905,24.87787,23.92961
2637.29410,-0.25386,-2.01416,83.28081,16.27429,18.00905,24.87787,24.11961
2637.30410,-0.22741,-2.01020,83.25204,16.29634,17.98962,24.89244,24.07364
2637.31410,-0.18952,-2.00951,83.22889,16.32189,17.95705,24.92827,24.02169
2637.32410,-0.20007,-2.01922,83.26981,16.30329,17.95705,24.94687,24.06261
2637.33410,-0.20091,-2.02067,83.23021,16.30005,17.93869,24.92887,24.06261
2637.34410,-0.20242,-2.02326,83.15981,16.29429,17.90605,24.89687,24.06261
2637.35410,-0.20886,-2.03272,83.15618,16.25829,17.90605,24.91868,24.07315
2637.36410,-0.21844,-2.04854,83.14321,16.19859,17.90275,24.95356,24.08830
2637.37410,-0.21499,-2.04703,83.12981,16.20529,17.89605,24.94687,24.08161
2637.38410,-0.21589,-2.05170,83.15856,16.20279,17.89330,24.96187,24.10061
2637.39410,-0.20947,-2.07029,83.22956,16.19529,17.86205,25.01687,24.15536
2637.40410,-0.18206,-2.08408,83.18381,16.19529,17.79305,25.04687,24.14861
2637.41410,-0.18384,-2.08238,83.23106,16.20529,17.80855,25.05687,24.16036
2637.42410,-0.18918,-2.07730,83.37281,16.23529,17.85505,25.08687,24.19561
2637.43410,-0.18918,-2.07730,83.37281,16.23529,17.85505,25.08687,24.19561
2637.44410,-0.19907,-2.09537,83.32681,16.16779,17.83772,25.11253,24.20877
2637.45410,-0.20783,-2.07901,83.42681,16.21379,17.89239,25.09920,24.22144
2637.46410,-0.21001,-2.07492,83.45181,16.22529,17.90605,25.09587,24.22461
2637.47410,-0.20969,-2.07348,83.24845,16.18821,17.86521,25.03287,24.16217
2637.48410,-0.20180,-2.10226,83.20181,16.13629,17.79305,25.07687,24.19561
2637.49410,-0.20180,-2.10226,83.20181,16.13629,17.79305,25.07687,24.19561
2637.50410,-0.20075,-2.10184,83.23437,16.14739,17.79675,25.08390,24.20634
2637.51410,-0.19898,-2.10113,83.28981,16.16629,17.80305,25.09587,24.22461
2637.52410,-0.20581,-2.10162,83.25059,16.14446,17.80712,25.08514,24.21388
2637.53410,-0.20227,-2.10241,83.19189,16.12387,17.80087,25.08345,24.18370
2637.54410,-0.18176,-2.10237,83.20281,16.14629,17.78305,25.10587,24.16761
2637.55410,-0.20487,-2.10794,83.30686,16.13916,17.81227,25.12012,24.23531
2637.56410,-0.19811,-2.12375,83.30306,16.11454,17.77755,25.15587,24.25511
2637.57410,-0.19275,-2.12828,83.28781,16.10729,17.76205,25.16587,24.25261
2637.58410,-0.16566,-2.14845,83.32020,16.09876,17.71006,25.24257,24.26880
2637.59410,-0.16096,-2.15194,83.32581,16.09729,17.70105,25.25587,24.27161
2637.60410,-0.16096,-2.15194,83.32581,16.09729,17.70105,25.25587,24.27161
2637.61410,-0.18729,-2.17742,83.22781,16.01554,17.65005,25.23837,24.32386
2637.62410,-0.18880,-2.17837,83.19381,15.99829,17.65005,25.23587,24.30961
2637.63410,-0.19541,-2.20227,83.20731,15.93979,17.62680,25.28837,24.35236
2637.64410,-0.16433,-2.22773,83.13978,15.94182,17.50470,25.31255,24.38072
2637.65410,-0.15278,-2.23380,83.11481,15.94929,17.46505,25.31487,24.38561
2637.66410,-0.15041,-2.23348,83.12681,15.93479,17.48555,25.33987,24.36661
2637.67410,-0.14804,-2.23316,83.13881,15.92029,17.50605,25.36487,24.34761
2637.68410,-0.17239,-2.25050,83.09647,15.86061,17.48549,25.35680,24.39357
2637.69410,-0.18711,-2.28648,83.12738,15.77229,17.45505,25.43219,24.46784
2637.70410,-0.17425,-2.29266,83.18381,15.77229,17.45505,25.48487,24.47161
2637.71410,-0.18584,-2.30312,83.21635,15.77229,17.42989,25.47873,24.53545
2637.72410,-0.18206,-2.32501,83.14592,15.73020,17.36403,25.49317,24.55853
2637.73410,-0.17497,-2.33482,83.08781,15.70329,17.33205,25.50487,24.54761
2637.74410,-0.18480,-2.32789,83.20015,15.69776,17.40756,25.54722,24.54761
2637.75410,-0.19097,-2.32353,83.27081,15.69429,17.45505,25.57387,24.54761
2637.76410,-0.18444,-2.32422,83.30677,15.70607,17.45505,25.59247,24.55319
2637.77410,-0.18126,-2.32760,83.33198,15.71781,17.44102,25.59934,24.57380
2637.78410,-0.18225,-2.33116,83.33581,15.72329,17.42405,25.59387,24.59461
2637.79410,-0.17453,-2.33166,83.29323,15.71702,17.41153,25.59387,24.57081
2637.80410,-0.16799,-2.33935,83.28776,15.72235,17.37595,25.59840,24.59105
2637.81410,-0.16567,-2.34825,83.31181,15.73329,17.34205,25.60387,24.63261
2637.82410,-0.17509,-2.34058,83.29693,15.72053,17.37693,25.59111,24.60837
2637.83410,-0.18783,-2.33021,83.27681,15.70329,17.42405,25.57387,24.57561
2637.84410,-0.17541,-2.34263,83.24881,15.71329,17.35755,25.57387,24.60411
2637.85410,-0.15278,-2.35706,83.25181,15.71829,17.30105,25.61387,24.61861
2637.86410,-0.14259,-2.35906,83.28281,15.71329,17.31105,25.65387,24.60461
2637.87410,-0.16321,-2.35254,83.26401,15.70388,17.33679,25.61427,24.60906
2637.88410,-0.17274,-2.35097,83.20012,15.69429,17.32677,25.57387,24.60520
2637.89410,-0.16021,-2.35564,83.13612,15.69758,17.28105,25.56288,24.59461
2637.90410,-0.15806,-2.35285,83.14391,15.71296,17.27892,25.55548,24.59654
2637.91410,-0.14242,-2.35348,83.20251,15.73985,17.27301,25.58774,24.60192
2637.92410,-0.15214,-2.35786,83.22466,15.71604,17.28962,25.60387,24.61514
2637.93410,-0.18512,-2.36379,83.20534,15.65055,17.32579,25.59639,24.63261
2637.94410,-0.19167,-2.36243,83.19281,15.64429,17.33205,25.58387,24.63261
2637.95410,-0.18601,-2.36013,83.17090,15.65271,17.32335,25.57544,24.61940
2637.96410,-0.18224,-2.35774,83.15627,15.67429,17.30469,25.55387,24.62342
2637.97410,-0.18375,-2.36808,83.29439,15.68491,17.31105,25.60882,24.68961
2637.98410,-0.17050,-2.37273,83.33912,15.68161,17.31509,25.65979,24.68263
2637.99410,-0.19889,-2.36821,83.22081,15.64429,17.32205,25.58387,24.67061
2638.00410,-0.18845,-2.37253,83.19474,15.65143,17.28884,25.58387,24.67061
2638.01410,-0.17149,-2.38126,83.11605,15.65152,17.22578,25.57732,24.66144
2638.02410,-0.17531,-2.38322,83.05081,15.62529,17.21905,25.56387,24.64261
2638.03410,-0.18111,-2.37865,83.13221,15.63602,17.25716,25.58237,24.65667
2638.04410,-0.19097,-2.37090,83.27081,15.65429,17.32205,25.61387,24.68061
2638.05410,-0.19097,-2.37090,83.27081,15.65429,17.32205,25.61387,24.68061
2638.06410,-0.19694,-2.40752,83.22497,15.60529,17.21921,25.62867,24.77181
2638.07410,-0.16628,-2.40653,83.13681,15.60529,17.18805,25.64387,24.69961
2638.08410,-0.17412,-2.40731,83.18169,15.60289,17.20533,25.65347,24.72001
2638.09410,-0.19949,-2.41224,83.31678,15.58583,17.25763,25.68872,24.78461
2638.10410,-0.20131,-2.42003,83.29481,15.55629,17.25005,25.70387,24.78461
2638.11410,-0.20131,-2.42003,83.29481,15.55629,17.25005,25.70387,24.78461
2638.12410,-0.22416,-2.42090,83.30281,15.54629,17.26005,25.67387,24.82261
2638.13410,-0.22206,-2.42133,83.28493,15.54509,17.25261,25.67027,24.81697
2638.14410,-0.20613,-2.42691,83.16653,15.53629,17.19445,25.65107,24.78473
2638.15410,-0.20269,-2.44419,83.25981,15.53629,17.16805,25.70387,24.85161
2638.16410,-0.20234,-2.44057,83.25117,15.53749,17.17669,25.69907,24.83793
2638.17410,-0.20232,-2.41518,83.19513,15.54977,17.23501,25.65907,24.75129
2638.18410,-0.22119,-2.42411,83.24881,15.57529,17.19805,25.62387,24.85161
2638.19410,-0.22229,-2.42495,83.24573,15.57101,17.19805,25.62450,24.85217
2638.20410,-0.23232,-2.43258,83.21773,15.53216,17.19805,25.63021,24.85732
2638.21410,-0.23875,-2.43746,83.19981,15.50729,17.19805,25.63387,24.86061
2638.22410,-0.24170,-2.43456,83.21054,15.51802,17.20212,25.62277,24.86764
2638.23410,-0.23244,-2.43421,83.21578,15.54470,17.17878,25.61648,24.87582
2638.24410,-0.21273,-2.44053,83.19781,15.55629,17.13705,25.63387,24.87061
2638.25410,-0.22937,-2.44354,83.20281,15.52679,17.15755,25.63387,24.88461
2638.26410,-0.24563,-2.45194,83.20633,15.49729,17.15776,25.63387,24.91742
2638.27410,-0.24008,-2.45822,83.22441,15.50219,17.13705,25.64857,24.93661
2638.28410,-0.25059,-2.45252,83.27649,15.49244,17.18803,25.66387,24.93215
2638.29410,-0.26676,-2.44590,83.30881,15.47729,17.24005,25.66387,24.92761
2638.30410,-0.24431,-2.45078,83.37865,15.51052,17.21640,25.70836,24.94338
2638.31410,-0.25121,-2.45504,83.25950,15.48063,17.18396,25.66607,24.92883
2638.32410,-0.26143,-2.45524,83.18681,15.45729,17.17805,25.63387,24.91761
2638.33410,-0.26142,-2.45737,83.11876,15.44953,17.15135,25.60803,24.90985
2638.34410,-0.26142,-2.45772,83.10781,15.44829,17.14705,25.60387,24.90861
2638.35410,-0.25478,-2.44421,83.20177,15.50745,17.17402,25.60387,24.91644
2638.36410,-0.28044,-2.44836,83.23321,15.47366,17.20502,25.60387,24.95067
2638.37410,-0.28443,-2.44928,83.23581,15.46729,17.20905,25.60387,24.95561
2638.38410,-0.29299,-2.46265,83.18274,15.42466,17.18208,25.60387,24.97214
2638.39410,-0.28597,-2.45501,83.18806,15.44076,17.19591,25.60387,24.94753
2638.40410,-0.27987,-2.44793,83.19781,15.45729,17.20905,25.60387,24.92761
2638.41410,-0.29555,-2.43735,83.18823,15.47471,17.22648,25.55159,24.93545
2638.42410,-0.29787,-2.43578,83.18681,15.47729,17.22905,25.54387,24.93661
2638.43410,-0.29301,-2.43713,83.17965,15.47342,17.22518,25.55354,24.92751
2638.44410,-0.27835,-2.43425,83.21705,15.49694,17.22687,25.57663,24.91662
2638.45410,-0.28250,-2.42797,83.26681,15.52629,17.24005,25.56387,24.93661
2638.46410,-0.28889,-2.41755,83.18887,15.52629,17.24741,25.51313,24.90205
2638.47410,-0.29346,-2.42521,83.13093,15.48807,17.23487,25.51397,24.89402
2638.48410,-0.29583,-2.43710,83.09981,15.44829,17.21905,25.53387,24.89861
2638.49410,-0.29183,-2.42582,83.14322,15.50156,17.22399,25.50970,24.90798
2638.50410,-0.28771,-2.41424,83.18781,15.55629,17.22905,25.48487,24.91761
2638.51410,-0.28613,-2.42702,83.23140,15.51393,17.24194,25.55178,24.92375
2638.52410,-0.27220,-2.42577,83.29332,15.54767,17.23711,25.57538,24.93315
2638.53410,-0.26415,-2.42000,83.31481,15.58529,17.22905,25.56387,24.93661
2638.54410,-0.27514,-2.42106,83.32460,15.58529,17.22905,25.54755,24.96271
2638.55410,-0.28046,-2.43234,83.31861,15.55149,17.21926,25.56815,24.97971
