time_s,cop_x_cm,cop_y_cm,mass_kg,tr_kg,tl_kg,br_kg,bl_kg
3555.80030,2.97105,2.16741,109.70181,37.23229,28.04705,25.14587,19.27661
3555.81030,2.96765,2.16843,109.76141,37.25754,28.06220,25.14587,19.29580
3555.82030,2.97045,2.16444,109.76186,37.24751,28.05329,25.16325,19.29780
3555.83030,2.97491,2.16082,109.71981,37.22229,28.03605,25.17587,19.28561
3555.84030,2.97289,2.16188,109.71981,37.22739,28.03605,25.16567,19.29071
3555.85030,2.96629,2.16544,109.66204,37.21468,28.03154,25.12879,19.28703
3555.86030,2.96060,2.16854,109.59181,37.19329,28.02605,25.09587,19.27661
3555.87030,2.95895,2.17369,109.65301,37.22848,28.05206,25.09128,19.28120
3555.88030,2.95736,2.17864,109.71181,37.26229,28.07705,25.08687,19.28561
3555.89030,2.96142,2.17488,109.68863,37.24809,28.05938,25.09817,19.28300
3555.90030,2.96938,2.16751,109.64318,37.22025,28.02472,25.12033,19.27789
3555.91030,2.96593,2.17695,109.69469,37.23526,28.08575,25.12587,19.24782
3555.92030,2.96419,2.18055,109.71481,37.24229,28.10805,25.12587,19.23861
3555.93030,2.98241,2.16820,109.69480,37.23359,28.04541,25.16937,19.24644
3555.94030,2.95396,2.16206,109.83081,37.22229,28.10805,25.18587,19.31461
3555.95030,2.95412,2.16212,109.83011,37.22255,28.10769,25.18560,19.31427
3555.96030,2.96993,2.16880,109.75957,37.24934,28.07108,25.15881,19.28034
3555.97030,2.97235,2.16862,109.73779,37.24604,28.06055,25.15587,19.27533
3555.98030,2.97647,2.16393,109.65001,37.20766,28.02413,25.15474,19.26346
3555.99030,2.97208,2.17640,109.71481,37.24229,28.08805,25.14587,19.23861
3556.00030,2.97688,2.17616,109.69868,37.23930,28.08028,25.15184,19.22725
3556.01030,2.99563,2.17448,109.61519,37.21680,28.04501,25.17431,19.17907
3556.02030,2.97442,2.17370,109.63581,37.20329,28.06705,25.14587,19.21961
3556.03030,2.97442,2.17370,109.63581,37.20329,28.06705,25.14587,19.21961
3556.04030,2.98398,2.18002,109.64143,37.25880,28.04527,25.11776,19.21961
3556.05030,2.98910,2.18085,109.66388,37.27663,28.04481,25.12565,19.21678
3556.06030,2.98763,2.17614,109.69851,37.25632,28.06308,25.16195,19.21716
3556.07030,2.97531,2.17600,109.65056,37.23878,28.05138,25.12101,19.23938
3556.08030,2.97389,2.17475,109.68120,37.24495,28.05744,25.12867,19.25014
3556.09030,2.98214,2.17160,109.80853,37.27829,28.08477,25.18867,19.25681
3556.10030,2.97592,2.16724,109.82081,37.28229,28.06705,25.17587,19.29561
3556.11030,2.97813,2.16475,109.81531,37.27979,28.05430,25.18087,19.30036
3556.12030,2.98479,2.15729,109.79881,37.27229,28.01605,25.19587,19.31461
3556.13030,2.98749,2.15841,109.77726,37.27229,28.00863,25.19043,19.30591
3556.14030,2.99827,2.16289,109.69102,37.27229,27.97892,25.16869,19.27113
3556.15030,2.98569,2.15642,109.62081,37.19329,27.98505,25.17587,19.26661
3556.16030,2.98569,2.15642,109.62081,37.19329,27.98505,25.17587,19.26661
3556.17030,3.00459,2.16637,109.62281,37.23229,27.99505,25.18587,19.20961
3556.18030,3.00712,2.16740,109.59354,37.22982,27.98505,25.17807,19.20061
3556.19030,2.99467,2.17202,109.52994,37.21659,27.98266,25.12359,19.20711
3556.20030,2.98892,2.16859,109.56942,37.24203,27.96424,25.10604,19.25711
3556.21030,2.98961,2.16895,109.57681,37.24302,27.96935,25.11102,19.25341
3556.22030,2.99590,2.17220,109.63509,37.24916,28.01353,25.15396,19.21844
3556.23030,2.95845,2.17333,109.72281,37.23229,28.08805,25.12587,19.27661
3556.24030,2.95845,2.17333,109.72281,37.23229,28.08805,25.12587,19.27661
3556.25030,2.97007,2.18303,109.71600,37.26638,28.09658,25.11734,19.23570
3556.26030,2.97455,2.18171,109.70381,37.27229,28.07705,25.11587,19.23861
3556.27030,2.97941,2.17580,109.73238,37.26086,28.07705,25.15587,19.23861
3556.28030,2.98469,2.16697,109.75531,37.24729,28.06180,25.19587,19.25036
3556.29030,2.98960,2.15380,109.75981,37.23229,28.01605,25.22587,19.28561
3556.30030,2.98730,2.15890,109.76562,37.24491,28.03146,25.21072,19.27854
3556.31030,2.97740,2.17418,109.74729,37.26195,28.07705,25.15814,19.25014
3556.32030,2.96845,2.17467,109.64481,37.20329,28.07705,25.13587,19.22861
3556.33030,2.96656,2.17350,109.68781,37.20962,28.09072,25.14920,19.23827
3556.34030,2.96709,2.17102,109.78461,37.23933,28.10669,25.17587,19.26272
3556.35030,2.97036,2.17090,109.79281,37.25229,28.09805,25.17587,19.26661
3556.36030,2.95667,2.17241,109.58913,37.17705,28.05929,25.10063,19.25217
3556.37030,2.95233,2.17289,109.52481,37.15329,28.04705,25.07687,19.24761
3556.38030,2.95660,2.16400,109.58589,37.15329,28.04072,25.12238,19.26950
3556.39030,2.96067,2.15966,109.54465,37.11847,28.03015,25.14406,19.25197
3556.40030,2.96132,2.16118,109.48481,37.09429,28.02605,25.13587,19.22861
3556.41030,2.93726,2.16251,109.55231,37.08679,28.08005,25.12087,19.26461
3556.42030,2.93346,2.16527,109.55606,37.08429,28.09805,25.11587,19.25786
3556.43030,2.95506,2.16649,109.53490,37.12214,28.05349,25.12066,19.23861
3556.44030,2.95232,2.15858,109.61681,37.11154,28.07480,25.17087,19.25961
3556.45030,2.94515,2.15637,109.64481,37.09429,28.09805,25.18587,19.26661
3556.46030,2.94136,2.16973,109.62261,37.14535,28.09805,25.11261,19.26661
3556.47030,2.94599,2.17651,109.63948,37.18795,28.09805,25.09131,19.26217
3556.48030,2.95211,2.17864,109.66481,37.21329,28.09805,25.09587,19.25761
3556.49030,2.93168,2.17817,109.59588,37.18279,28.08524,25.03548,19.29238
3556.50030,2.91860,2.17787,109.55181,37.16329,28.07705,24.99687,19.31461
3556.51030,2.92142,2.18289,109.65953,37.20024,28.12841,25.02818,19.30271
3556.52030,2.92590,2.17718,109.71134,37.18548,28.14658,25.08367,19.29561
3556.53030,2.92758,2.17194,109.70381,37.16329,28.13905,25.10587,19.29561
3556.54030,2.92503,2.17716,109.66165,37.15709,28.14525,25.08169,19.27763
3556.55030,2.92208,2.16188,109.62062,37.09919,28.10529,25.10881,19.30733
3556.56030,2.92118,2.14996,109.61081,37.06429,28.07705,25.13587,19.33361
3556.57030,2.93246,2.15035,109.67691,37.10544,28.07705,25.16081,19.33361
3556.58030,2.94830,2.15090,109.76981,37.16329,28.07705,25.19587,19.33361
3556.59030,2.94347,2.15016,109.77023,37.15127,28.08576,25.19587,19.33734
3556.60030,2.93763,2.14700,109.75368,37.13068,28.08128,25.19226,19.34946
3556.61030,2.94215,2.13736,109.67581,37.11429,28.00505,25.17587,19.38061
3556.62030,2.93431,2.13514,109.71942,37.11429,28.02024,25.18077,19.40413
3556.63030,2.93597,2.12891,109.74086,37.09805,28.01926,25.21339,19.41016
3556.64030,2.95602,2.12093,109.69199,37.06490,27.98499,25.26957,19.37252
3556.65030,2.96183,2.11861,109.67781,37.05529,27.97505,25.28587,19.36161
3556.66030,2.92417,2.13502,109.55747,37.04781,27.99000,25.12964,19.39001
3556.67030,2.91143,2.14057,109.51681,37.04529,27.99505,25.07687,19.39961
3556.68030,2.90741,2.12967,109.60640,37.02870,28.01247,25.13411,19.43113
3556.69030,2.93129,2.12437,109.64834,37.04805,27.99253,25.19899,19.40877
3556.70030,2.93913,2.12340,109.65581,37.05529,27.98505,25.21587,19.39961
3556.71030,2.93651,2.12811,109.73156,37.07682,28.03109,25.23072,19.39292
3556.72030,2.93468,2.12602,109.67456,37.03467,28.02939,25.23587,19.37463
3556.73030,2.93868,2.12152,109.64929,37.03301,27.99439,25.23329,19.38860
3556.74030,2.95071,2.11054,109.62181,37.05529,27.90305,25.22587,19.43761
3556.75030,2.95075,2.11256,109.64678,37.05989,27.92293,25.23556,19.42839
3556.76030,2.95108,2.11636,109.70699,37.06711,27.96971,25.26339,19.40678
